Flower Length,Species
47.12,Bihai
46.75,Bihai
46.81,Bihai
47.12,Bihai
46.67,Bihai
47.43,Bihai
46.44,Bihai
46.64,Bihai
48.07,Bihai
48.34,Bihai
48.15,Bihai
50.26,Bihai
50.12,Bihai
46.34,Bihai
46.94,Bihai
48.36,Bihai
41.90,Caribaea Red
42.01,Caribaea Red
41.93,Caribaea Red
43.09,Caribaea Red
41.47,Caribaea Red
41.69,Caribaea Red
39.78,Caribaea Red
40.57,Caribaea Red
39.63,Caribaea Red
42.18,Caribaea Red
40.66,Caribaea Red
37.87,Caribaea Red
39.16,Caribaea Red
37.40,Caribaea Red
38.20,Caribaea Red
38.07,Caribaea Red
38.10,Caribaea Red
37.97,Caribaea Red
38.79,Caribaea Red
38.23,Caribaea Red
38.87,Caribaea Red
37.78,Caribaea Red
38.01,Caribaea Red
36.78,Caribaea Yellow
37.02,Caribaea Yellow
36.52,Caribaea Yellow
36.11,Caribaea Yellow
36.03,Caribaea Yellow
35.45,Caribaea Yellow
38.13,Caribaea Yellow
37.10,Caribaea Yellow
35.17,Caribaea Yellow
36.82,Caribaea Yellow
36.66,Caribaea Yellow
35.68,Caribaea Yellow
36.03,Caribaea Yellow
34.57,Caribaea Yellow
34.63,Caribaea Yellow
